TERM,NLP1,NLP2,NLP3,NLP4,NLP5,Agreeableness,Extroversion,Conscientiousness,Neuroticism,Openness/Intellect
acquisitive,-7.758434772491455,-28.296382904052734,3.7495217323303223,-6.114719390869141,-25.180049896240234,,,,,
acrid,-37.5348014831543,-4.178060531616211,13.39291000366211,-2.42525577545166,13.688518524169922,,,,,
acrimonious,-41.13766098022461,-12.441388130187988,19.050779342651367,-15.273266792297363,1.9462432861328125,,,,,
active,24.225908279418945,-42.189666748046875,11.608919143676758,9.782164573669434,0.002339995000511408,0.11,0.43,0.15,-0.14,0.02
adaptable,39.42495346069336,-17.839183807373047,-6.112468242645264,11.162402153015137,7.97575044631958,0.27,0.06,0.11,-0.24,0.13
adaptive,32.37213897705078,-18.11386489868164,8.159832000732422,10.029324531555176,17.006437301635742,,,,,
adjustable,32.05792999267578,-7.858893871307373,-10.062028884887695,15.783248901367188,19.490127563476562,,,,,
admirable,42.119014739990234,-12.291022300720215,16.0208740234375,-3.504391670227051,23.682231903076172,,,,,
admonitory,-6.606019973754883,8.258495330810547,44.070281982421875,-13.298929214477539,-5.525218486785889,,,,,
adorable,37.087459564208984,-17.860464096069336,-16.580209732055664,-13.32187271118164,9.015621185302734,,,,,
adroit,34.198177337646484,-14.944059371948242,22.4796199798584,1.279321312904358,7.42514181137085,,,,,
adulatory,17.215839385986328,-23.06875228881836,-22.10430908203125,-11.767720222473145,-4.976784706115723,,,,,
adulterous,-35.46613311767578,-21.665136337280273,-15.327024459838867,-9.16012954711914,8.040452003479004,,,,,
adventurous,25.729145050048828,-47.85927200317383,1.4627130031585693,4.676223278045654,-1.191583514213562,0.0,0.38,-0.04,-0.19,0.1
adversarial,-34.160160064697266,-7.293410778045654,33.99039077758789,-3.4628310203552246,5.121052265167236,,,,,
aesthetic,32.11245346069336,-11.625935554504395,5.872611999511719,3.484870195388794,22.39164924621582,,,,,
affable,56.04429244995117,-16.252553939819336,-19.138856887817383,-9.92123794555664,-22.22390365600586,,,,,
affected,-4.939473628997803,-2.620847702026367,-11.13776683807373,-3.989556074142456,33.60293960571289,,,,,
affectionate,51.115169525146484,-13.125712394714355,-26.441495895385742,-30.0051326751709,-9.966442108154297,0.51,0.21,-0.01,0.21,0.09
affirmative,33.68646240234375,-19.07817268371582,5.603500843048096,5.200016021728516,-8.21037769317627,,,,,
afraid,-20.735164642333984,14.54061222076416,-11.230684280395508,-22.516334533691406,19.31613540649414,,,,,
aggravating,-37.65328598022461,-12.897303581237793,11.310501098632812,-10.818103790283203,7.031959056854248,,,,,
aggressive,-20.17781639099121,-32.2720832824707,32.665191650390625,-5.701082706451416,-17.72534942626953,-0.3,0.61,0.09,0.0,0.02
agitable,-1.8116681575775146,-49.52366638183594,0.44372469186782837,11.126002311706543,-9.646416664123535,,,,,
agitated,-31.856185913085938,-21.45280647277832,2.047353982925415,-11.350802421569824,10.326415061950684,,,,,
agitative,-9.088003158569336,-31.260465621948242,11.271656036376953,6.001946449279785,-2.364001989364624,,,,,
agreeable,57.47402572631836,2.4488868713378906,-15.41669750213623,-17.89373016357422,-15.349076271057129,0.46,-0.07,-0.01,-0.16,0.03
aimful,-8.540302276611328,0.9246349334716797,-5.207817077636719,15.303884506225586,9.204161643981934,,,,,
aimless,-18.434795379638672,10.6915864944458,-36.38466262817383,19.442113876342773,5.683381080627441,-0.07,-0.21,-0.38,-0.16,-0.05
airy,26.261024475097656,-20.979326248168945,-29.41303253173828,20.58211898803711,2.05149507522583,,,,,
alarmable,-15.334166526794434,-18.852907180786133,-3.7817883491516113,8.051491737365723,19.479114532470703,,,,,
