TERM,ALmeanFrequency,Orig OrderIn1710List,NormanCategory2800List,Saucier list?,G&N 1710 list?,Allport Odbert source,COCA freq rank,definitions,,,,,,
docile,3.60,307,Norman - category 2; form 4,nope,yes,Allport Odbert - Column I,26114,obedient and easy to manage.,28,,,,,
doctrinaire,1.30,308,Norman - category 2; form 5,nope,yes,Allport Odbert - Column I,41143,"dogmatically adhering to a theory or a school of thought, regardless of its practicality.",89,,,,,
doddering,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,58715,"shaky or unsteady, especially in walking.",41,,,,,
dodgy,NA,NA,Norman - category 3; form 1,nope,nope,Allport Odbert - Column I,54961,dishonest or unreliable.,24,,,,,
dogged,2.60,309,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,26612,persistent or stubborn.,23,,,,,
dogmatic,3.60,310,Norman - category 2; form 4,nope,yes,Allport Odbert - Column I,23439,asserting beliefs and opinions as though they were proven facts.,64,,,,,
doleful,1.40,311,Norman - category 2; form 5,nope,yes,Allport Odbert - Column I,48175,"full of sadness, sorrow, or melancholy.",39,,,,,
doltish,NA,NA,dropped,nope,nope,Allport Odbert - Column III,89725,stupid or foolish.,18,,,,,
dominant,5.40,312,NA,yes,nope,Allport Odbert - Column III,3595,most in control; ruling; leading.,33,,,,,
domineering,5.40,313,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,33577,"overbearing, despotic, or tyrannical.",37,,,,,
dopey,NA,NA,dropped,nope,nope,Allport Odbert - Column III,38249,"sleepy, sluggish, or dazed, as if from the use of alcohol or drugs.",67,,,,,
doting,NA,NA,dropped,nope,nope,Allport Odbert - Column II,32030,extremely or excessively affectionate.,38,,,,,
dotty,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,59900,"eccentric, weak-minded, or a little crazy; daft.",48,,,,,
double-crossing,NA,NA,dropped,nope,nope,Allport Odbert - Column II,97159,"prone to betrayal or cheating, especially by failing to uphold prior agreements.",80,,,,,
double-faced,2.10,314,Norman - category 3; form 5,nope,yes,Allport Odbert - Column III,79372,hypocritical; double-dealing; false.,36,,,,,
double-tongued,1.30,315,Norman - category 3; form 3,nope,yes,Allport Odbert - Column III,NA,hypocritical; deceitful.,24,,,,,
doubting,NA,NA,dropped,nope,nope,Allport Odbert - Column II,25233,lacking trust.,14,,,,,
dour,NA,NA,Norman - category 2; form 4,nope,nope,Allport Odbert - Column I,26059,"sullen, ill-humored, or unfriendly.",35,,,,,
dowdy,NA,NA,dropped,nope,nope,Allport Odbert - Column III,39587,not at all stylish; shabby or dull.,35,,,,,
down-to-earth,6.60,316,Norman - category 3; form 14,nope,yes,not included,23364,"practical, straightforward, sensible, and realistic.",52,,,,,
downtrodden,NA,NA,dropped,nope,nope,Allport Odbert - Column III,30335,oppressed by those in positions of power; tyrannized; crushed.,62,,,,,
dramatic,NA,NA,dropped,nope,nope,Allport Odbert - Column III,2367,"characterized by heartfelt, feigned, or simulated emotion of an intense nature.",79,,,,,
dreamy,3.60,317,NA,yes,nope,Allport Odbert - Column I,17140,pleasantly abstracted from immediate reality.,45,,,,,
dreary,NA,NA,dropped,nope,nope,Allport Odbert - Column III,18219,"cheerless, bleak, or depressing.",32,,,,,
dressy,NA,NA,dropped,nope,nope,Allport Odbert - Column III,40504,formal or fancy in dress; stylish.,34,,,,,
droll,NA,NA,dropped,nope,nope,Allport Odbert - Column III,37168,wryly amusing or humorous.,26,,,,,
dubious,NA,NA,dropped,nope,nope,Allport Odbert - Column II,10403,having or showing doubt; skeptical.,35,,,,,
dull,5.10,318,NA,yes,nope,Allport Odbert - Column III,6429,"lacking in receptiveness, appreciation, or alertness.",53,,,,,
dull-witted,2.90,319,Norman - category 3; form 5,nope,yes,Allport Odbert - Column III,75573,slow to understand; stupid.,27,,,,,
dumb,NA,NA,NA,yes,nope,Allport Odbert - Column III,6225,reflecting a lack of intelligent thinking; idiotic; stupid.,59,,,,,
durable,2.40,320,Norman - category 3; form 2,nope,yes,Allport Odbert - Column III,10046,not easily worn out; long-lasting; sturdy.,42,,,,,
dutiful,3.40,321,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,28678,carrying out one's responsibilities as required or expected.,60,,,,,
dynamic,4.90,322,Norman - category 1; form 4,nope,yes,Allport Odbert - Column III,4498,full of energy; forceful.,25,,,,,
eager,5.50,323,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,3649,having or showing an impatient desire; anticipating enthusiastically.,69,,,,,
eagle-eyed,2.60,324,Norman - category 3; form 1,nope,yes,Allport Odbert - Column IV,85059,having extremely good vision; keen-sighted.,43,,,,,
earnest,4.00,325,Norman - category 1; form 2,nope,yes,Allport Odbert - Column I,9230,having or showing a serious intention or manner.,48,,,,,
earthly-minded,1.20,326,Norman - category 3; form 3,nope,yes,Allport Odbert - Column III,NA,concerned with issues relating to the physical world rather than spiritual.,75,,,,,
earthly-wise,1.00,327,Norman - category 3; form 4,nope,yes,Allport Odbert - Column III,NA,in an earthly manner.,21,,,,,
earthy,3.30,328,Norman - category 3; form 5,nope,yes,Allport Odbert - Column III,17257,"realistic, practical, and unpretentious.",40,,,,,
easeless,1.10,329,Norman - category 3; form 1,nope,yes,Allport Odbert - Column I,NA,subject to no relief or rest.,29,,,,,
easygoing,6.30,330,Norman - category 1; form 2,nope,yes,Allport Odbert - Column I,22291,not worried or rushed; not easily upset; relaxed; calm.,55,,,,,
ebullient,NA,NA,Norman - category 2; form 3,nope,nope,Allport Odbert - Column I,32715,"highly enthusiastic, happily excited, or spirited.",50,,,,,
eccentric,NA,NA,dropped,nope,nope,Allport Odbert - Column III,11623,"unconventional; peculiar; unusual in manner, behavior, or thinking.",67,,,,,
eclectic,NA,NA,Norman - category 2; form 4,nope,nope,Allport Odbert - Column I,13056,"drawing on or influenced by many different styles, disciplines, and systems of thought.",87,,,,,
economical,4.70,331,Norman - category 3; form 5,nope,yes,Allport Odbert - Column I,15577,wasting little; thrifty; frugal.,32,,,,,
economizing,NA,NA,new,nope,nope,new,61972,sparing; frugal.,16,,,,,
edgy,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,15873,irritably nervous or impatient; on edge.,40,,,,,
educable,1.70,332,Norman - category 3; form 2,nope,yes,Allport Odbert - Column III,72099,capable of learning.,20,,,,,
educated,5.80,333,Norman - category 1; form 3,nope,yes,Allport Odbert - Column IV,7609,"marked by qualities that indicate knowledge, training, and culture.",67,,,,,
effective,NA,NA,NA,yes,nope,Allport Odbert - Column III,1027,producing an adequate or desired result.,40,,,,,
effeminate,3.80,334,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,37139,having feminine qualities; not manly in appearance or manner.,61,,,,,
effervescent,3.00,335,Norman - category 2; form 5,nope,yes,Allport Odbert - Column I,42481,"in high, cheerful spirits; lively; animated.",44,,,,,
efficient,5.30,336,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,3397,operating or performing with little waste of effort or resources.,65,,,,,
effusive,NA,NA,Norman - category 2; form 2,nope,nope,Allport Odbert - Column I,34654,expressing emotions at undue length or intensity.,49,,,,,
egocentric,5.80,337,Norman - category 3; form 12,nope,yes,not included,38413,"regarding oneself as the subject, object, and standard of all things.",69,,,,,
egotistical,6.40,338,Norman - category 3; form 4,nope,yes,not included,38375,conceited and boastful; excessively self-promoting.,51,,,,,
elderly,NA,NA,NA,yes,nope,Allport Odbert - Column IV,3346,aging or rather old.,20,,,,,
elegant,5.30,339,Norman - category 1; form 1,nope,yes,Allport Odbert - Column III,4661,"having special refinement, taste, or dignity.",46,,,,,
elfish,1.70,340,Norman - category 3; form 2,nope,yes,Allport Odbert - Column I,NA,mischievous; impish.,55,,,,,
eloquent,4.10,341,Norman - category 2; form 4,nope,yes,Allport Odbert - Column I,14647,"fluent, apt, and persuasive, as a speaker or a speech.",54,,,,,
elusive,3.60,342,Norman - category 3; form 5,nope,yes,Allport Odbert - Column I,9151,"hard to perceive, understand, or remember.",42,,,,,
emasculated,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,49030,"stripped of strength or energy, especially in men.",50,,,,,
embarrassed,NA,NA,NA,yes,nope,Allport Odbert - Column II,5631,"experiencing, expressing, or marked by feelings of shame, painful self-consciousness, or unease.",96,,,,,
embarrassing,NA,NA,NA,yes,nope,Allport Odbert - Column III,6910,"causing or accompanied by feelings of shame, painful self-consciousness, or unease.",83,,,,,
embellishing,NA,NA,dropped,nope,nope,Allport Odbert - Column II,51415,prone to enhancing stories and facts with unnecessary or fictitious details.,76,,,,,
embittered,2.10,343,Norman - category 1; form 1,nope,yes,Allport Odbert - Column IV,37815,resentful.,30,,,,,
embracing,NA,NA,dropped,nope,nope,Allport Odbert - Column II,10682,readily accepting.,18,,,,,
emergent,NA,NA,new,nope,nope,new,18164,coming into notice.,19,,,,,
emotional,6.30,344,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,1707,tending to have strong feelings.,68,,,,,
emotionless,3.40,345,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,44710,not showing any feeling.,25,,,,,
empathetic,NA,NA,new,nope,nope,new,24477,identifying with or sharing another's feelings or attitudes.,60,,,,,
empathic,4.20,346,Norman - category 2; form 13,nope,yes,not included,28308,showing an ability to understand and share the feelings of another.,66,,,,,
emphatic,3.50,347,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,20492,"forceful, determined, or insistent in speech or action.",55,,,,,
empirical,NA,NA,dropped,nope,nope,Allport Odbert - Column I,5895,"based on or verifiable by experience or experiment, rather than on or by theory.",80,,,,,
employed,NA,NA,NA,yes,nope,Allport Odbert - Column IV,4362,to keep busy or at work.,49,,,,,
empowering,NA,NA,dropped,nope,nope,Allport Odbert - Column III,17703,enabling; permissive.,21,,,,,
encouraged,NA,NA,NA,yes,nope,Allport Odbert - Column II,4299,"give support, confidence, or hope.",46,,,,,
encouraging,NA,NA,NA,yes,nope,Allport Odbert - Column II,5157,"tending to give help, support, or approval.",43,,,,,
encumbered,NA,NA,dropped,nope,nope,Allport Odbert - Column II,46432,"burdened, as with a heavy load or an obligation.",43,,,,,
encyclopedic,1.30,348,Norman - category 3; form 3,nope,yes,Allport Odbert - Column IV,31419,"full, complete, comprehensive.",29,,,,,
energetic,6.10,349,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,9503,showing great vitality; active; vigorous.,47,,,,,
engaging,NA,NA,dropped,nope,nope,Allport Odbert - Column III,5405,charming; pleasing; attractive.,31,,,,,
enigmatic,NA,NA,dropped,nope,nope,Allport Odbert - Column III,16901,"puzzling, mysterious, or inexplicable.",38,,,,,
enlightened,4.60,350,Norman - category 3; form 1,nope,yes,Allport Odbert - Column III,14559,"having or showing a rational, modern, and well-informed outlook.",63,,,,,
enterprising,3.20,351,Norman - category 1; form 2,nope,yes,Allport Odbert - Column I,23742,"bold, energetic, and full of initiative.",40,,,,,
entertaining,NA,NA,NA,yes,nope,Allport Odbert - Column III,7413,providing pleasant diversion; amusing.,38,,,,,
enthusiastic,6.20,352,NA,yes,nope,Allport Odbert - Column I,7097,having or showing intense interest or excitement about something.,65,,,,,
envious,5.40,353,NA,yes,nope,Allport Odbert - Column I,22050,"discontentment or resentment caused by someone else's possessions, qualities, or luck.",24,,,,,
equalitarian,2.90,354,Norman - category 2; form 2,nope,yes,Allport Odbert - Column I,NA,of a person who believes that humans ought to have equal rights and opportunities.,82,,,,,
equitable,NA,NA,Norman - category 2; form 4,nope,nope,Allport Odbert - Column I,13346,characterized by fairness; just.,32,,,,,
equivocal,NA,NA,Norman - category 2; form 14,nope,nope,new,30617,doubtful or undecided in one's opinions or attitudes.,53,,,,,
equivocating,NA,NA,dropped,nope,nope,Allport Odbert - Column II,84516,"expressing oneself ambiguously, often to avoid giving a direct answer or to deceive.",84,,,,,
erotic,NA,NA,dropped,nope,nope,Allport Odbert - Column I,10752,causing or affected by strong sexual desire.,44,,,,,
erratic,3.70,355,Norman - category 1; form 2,nope,yes,Allport Odbert - Column I,14395,deviating from that which is usual or accepted; eccentric.,58,,,,,
erudite,NA,NA,Norman - category 2; form 3,nope,nope,Allport Odbert - Column I,34444,having or showing a high level of scholarly knowledge; learned.,63,,,,,
esoteric,NA,NA,dropped,nope,nope,Allport Odbert - Column III,19748,concerned with highly specialized topics or knowledge.,54,,,,,
ethereal,NA,NA,Norman - category 3; form 5,nope,nope,Allport Odbert - Column III,22049,highly refined; unworldly.,26,,,,,
ethical,4.70,356,Norman - category 1; form 1,nope,yes,Allport Odbert - Column III,3884,conforming to a set of moral principles.,40,,,,,
ethnocentric,NA,NA,new,nope,nope,new,39480,evaluating other peoples and cultures according to the standards of one's own culture.,86,,,,,
evangelistic,2.60,357,Norman - category 2; form 5,nope,yes,Allport Odbert - Column I,48507,zealously advocating a particular cause; campaigning.,52,,,,,
evasive,4.00,358,Norman - category 2; form 1,nope,yes,Allport Odbert - Column I,23885,acting in a way that avoids giving a true and complete response.,64,,,,,
even-handed,NA,NA,dropped,nope,nope,Allport Odbert - Column I,46464,fair and impartial in the treatment or judgment of others.,58,,,,,
evil,NA,NA,NA,yes,nope,Allport Odbert - Column III,4592,motivated by intent to harm or destroy.,39,,,,,
exact,2.90,359,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,3919,"fully precise, accurate, or correct.",36,,,,,
exacting,3.80,360,Norman - category 2; form 5,nope,yes,Allport Odbert - Column I,21152,severe or strict in making demands.,35,,,,,
exaggerative,2.40,361,Norman - category 2; form 1,nope,yes,Allport Odbert - Column I,NA,"tending to represent things as larger, better, or worse than they really are.",44,,,,,
exasperated,NA,NA,dropped,nope,nope,Allport Odbert - Column II,23406,prone to being greatly annoyed after losing patience.,53,,,,,
excellent,NA,NA,NA,yes,nope,Allport Odbert - Column III,2344,of high quality; extremely good; superior.,42,,,,,
exceptional,NA,NA,NA,yes,nope,Allport Odbert - Column III,7259,"uncommon, unusual, or out of the ordinary.",42,,,,,
excessive,4.00,362,Norman - category 3; form 12,nope,yes,not included,5613,"more than is required, expected, or considered reasonable; extravagant or immoderate.",85,,,,,
excitable,4.80,363,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,40331,capable of being easily stimulated or aroused.,32,,,,,
excited,NA,NA,NA,yes,nope,Allport Odbert - Column II,3928,aroused; thrilled; agitated.,57,,,,,
exciting,NA,NA,NA,yes,nope,not included,3350,causing great enthusiasm and eagerness.,42,,,,,
exclusive,3.30,364,Norman - category 3; form 5,nope,yes,Allport Odbert - Column I,4438,"giving attention or service only to certain types of people (rich, fashionable, or privileged).",95,,,,,
exhausted,NA,NA,NA,yes,nope,Allport Odbert - Column II,7507,"extremely tired, having used up all or nearly all of one's energy.",66,,,,,
exhaustible,1.70,365,Norman - category 3; form 2,nope,yes,Allport Odbert - Column IV,88013,"able to drain of strength or energy, wear out, or fatigue greatly.",65,,,,,
exhaustive,2.00,366,Norman - category 3; form 3,nope,yes,Allport Odbert - Column IV,17507,thorough and all-encompassing.,30,,,,,
exhibitionistic,3.60,367,Norman - category 2; form 5 (revised by Goldberg & Norman from 'exhibitionist'),nope,yes,not included,83463,a person who behaves in ways intended to attract attention.,59,,,,,
expansive,1.60,368,Norman - category 2; form 2,nope,yes,Allport Odbert - Column I,12118,having a wide range.,20,,,,,
expectant,NA,NA,dropped,nope,nope,Allport Odbert - Column II,21116,hopeful; having high expectations.,34,,,,,
expedient,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,30608,advantageous to oneself and often morally questionable.,55,,,,,
expeditious,NA,NA,Norman - category 2; form 4,nope,nope,Allport Odbert - Column I,45039,prompt and efficient.,21,,,,,
experienced,NA,NA,NA,yes,nope,Allport Odbert - Column IV,3686,wise or knowledgeable as a result of practice or prior exposure.,61,,,,,
experiential,NA,NA,new,nope,nope,new,17658,concerned with knowledge gained by first-hand experience rather than theory.,76,,,,,
experimenting,NA,NA,dropped,nope,nope,Allport Odbert - Column II,12309,"exploring, whether methodically or by trial and error.",54,,,,,
explicit,2.40,369,Norman - category 2; form 3,nope,yes,Allport Odbert - Column I,5809,marked by frankness and forthrightness.,39,,,,,
exploitative,3.30,370,Norman - category 3; form 4,nope,yes,Allport Odbert - Column I,29909,making use of a situation or treating others unfairly in order to gain an advantage or benefit.,94,,,,,
explosive,4.10,371,Norman - category 3; form 5,nope,yes,Allport Odbert - Column I,6639,likely to cause or experience an eruption of anger or controversy.,35,,,,,
expressive,5.60,372,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,9961,"conveying much feeling, as a remark or gesture.",47,,,,,
extraordinary,NA,NA,NA,yes,nope,Allport Odbert - Column III,2984,far beyond the usual or everyday.,33,,,,,
extravagant,5.40,373,Norman - category 1; form 5,nope,yes,Allport Odbert - Column III,14547,"spending excessively or imprudently, or characterized by such spending.",71,,,,,
extraverted,NA,NA,new,nope,nope,new,76639,"outgoing, sociable, and gregarious.",35,,,,,
extreme,NA,NA,dropped,nope,nope,Allport Odbert - Column III,2796,"risky or thrill-seeking; interested in activities that involve heights, speed, or dangerous stunts.",99,,,,,
extroverted,6.40,374,Norman - category 2; form 2,nope,yes,Allport Odbert - Column I,42196,outgoing and socially confident.,32,,,,,
facetious,3.20,375,Norman - category 2; form 1,nope,yes,Allport Odbert - Column I,45044,not serious; humorous or frivolous.,35,,,,,
factious,1.30,376,Norman - category 2; form 3,nope,yes,Allport Odbert - Column I,84621,inclined toward or promoting dispute; divisive or dissentious.,62,,,,,
faint-hearted,2.80,377,Norman - category 3; form 5,nope,yes,Allport Odbert - Column I,66389,lacking courage or conviction; timid.,37,,,,,
fair,NA,NA,NA,yes,nope,Allport Odbert - Column III,1295,"without bias, or without allowing a greater advantage for one side over another; just.",86,,,,,
fair-minded,2.90,378,Norman - category 3; form 1,nope,yes,Allport Odbert - Column III,43348,impartial and without prejudice.,32,,,,,
fair-natured,2.10,379,Norman - category 3; form 2,nope,yes,Allport Odbert - Column III,NA,well-disposed towards others.,56,,,,,
faithful,5.60,380,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,6316,reliable or trustworthy.,24,,,,,
faithless,NA,NA,dropped,nope,nope,Allport Odbert - Column I,45162,failing to keep one's promises or vows.,39,,,,,
fake,NA,NA,dropped,nope,nope,Allport Odbert - Column III,6101,not genuine or authentic; deceptive in appearance.,50,,,,,
false,NA,NA,dropped,nope,nope,Allport Odbert - Column III,2813,not genuine; fake or artificial.,32,,,,,
false-hearted,1.50,381,Norman - category 3; form 3,nope,yes,Allport Odbert - Column III,NA,inclined to deceit and treachery.,33,,,,,
faltering,NA,NA,dropped,nope,nope,Allport Odbert - Column II,23390,"moving, speaking, or functioning hesitatingly or unsteadily; stumbling.",71,,,,,
familiar,NA,NA,NA,yes,nope,Allport Odbert - Column I,1584,easily recognized; commonly known.,34,,,,,
famous,NA,NA,NA,yes,nope,Allport Odbert - Column III,1571,having widespread recognition or public esteem; renowned.,57,,,,,
fanatical,3.90,382,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,23641,driven by excessive and uncritical zeal.,40,,,,,
fanciful,3.40,383,Norman - category 3; form 3,nope,yes,Allport Odbert - Column I,19204,exhibiting use of the imagination; whimsical or imaginative.,60,,,,,
fancy,NA,NA,dropped,nope,nope,Allport Odbert - Column III,6624,"elaborate, luxurious, or highly decorated.",42,,,,,
fancy-free,3.60,384,Norman - category 3; form 4,nope,yes,Allport Odbert - Column II,93835,"without obligations or commitments, especially any love attachment.",67,,,,,
fantastical,NA,NA,dropped,nope,nope,Allport Odbert - Column I,34767,wildly imaginative or outlandish; fanciful; exaggerated.,56,,,,,
farseeing,1.80,385,Norman - category 3; form 1,nope,yes,Allport Odbert - Column III,99979,"able, or as if able, to see into the future; prescient.",72,,,,,
fascinating,NA,NA,NA,yes,nope,Allport Odbert - Column III,5011,capable of capturing one's intense interest and attention; enchanting; spellbinding.,84,,,,,
fashionable,NA,NA,dropped,nope,nope,Allport Odbert - Column III,10269,conforming to current trends or styles.,39,,,,,
fastidious,2.70,386,Norman - category 2; form 3,nope,yes,Allport Odbert - Column I,31131,exceedingly particular or demanding especially in matters of detail; exacting.,78,,,,,
fat,NA,NA,NA,yes,nope,Allport Odbert - Column IV,1684,having excessive nonmuscular flesh; plump; obese.,49,,,,,
fatalistic,2.10,387,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,34965,one who believes that all events are predetermined and therefore inevitable.,76,,,,,
fatherly,NA,NA,dropped,nope,nope,Allport Odbert - Column I,33255,"paternal in affection, care or treatment.",41,,,,,
fatigueless,1.20,388,Norman - category 3; form 5,nope,yes,Allport Odbert - Column I,NA,incapable of tiring.,30,,,,,
fatuous,NA,NA,dropped,nope,nope,Allport Odbert - Column III,44597,smugly foolish or stupid.,25,,,,,
faultfinding,2.50,389,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,NA,"complaining or critical, in a petty manner.",43,,,,,
fawning,NA,NA,dropped,nope,nope,Allport Odbert - Column I,38888,seeking attention or favor by flattery or servility.,52,,,,,
fearful,4.70,390,NA,yes,nope,Allport Odbert - Column I,8256,having feelings of apprehension or safety concerns.,40,,,,,
fearless,5.60,391,Norman - category 1; form 2,nope,yes,Allport Odbert - Column I,15191,undaunted; brave.,31,,,,,
feckless,NA,NA,dropped,nope,nope,Allport Odbert - Column III,40067,weak or incompetent; ineffective.,33,,,,,
feeble-minded,NA,NA,dropped,nope,nope,Allport Odbert - Column III,70681,"mentally deficient, as from congenital causes or old age.",57,,,,,
feelingful,1.20,392,Norman - category 3; form 14,nope,yes,not included,NA,marked by strong emotions.,24,,,,,
feelingless,2.00,393,Norman - category 3; form 3,nope,yes,Allport Odbert - Column III,NA,having no capacity for emotions.,55,,,,,
felicitous,NA,NA,Norman - category 2; form 11,nope,nope,new,52039,very pleasant or agreeable.,27,,,,,
felonious,NA,NA,dropped,nope,nope,Allport Odbert - Column III,56095,very evil.,10,,,,,
feminine,5.00,394,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,7478,possessing qualities or attributes traditionally associate with women.,46,,,,,
ferocious,NA,NA,Norman - category 2; form 2,nope,nope,Allport Odbert - Column I,15620,"extremely intense, strong, or violent.",38,,,,,
fervent,2.00,395,Norman - category 2; form 3,nope,yes,Allport Odbert - Column I,20567,"having or expressing warmth, depth, or intensity of feeling.",60,,,,,
festive,NA,NA,dropped,nope,nope,Allport Odbert - Column I,13371,merry and joyful.,17,,,,,
fickle,4.10,396,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,22852,"a tendency to quickly change without reason or warning, especially in mood or allegiance.",89,,,,,
fidgety,4.50,397,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,39841,restless or uneasy.,38,,,,,
fiendish,NA,NA,Norman - category 1; form 2,nope,nope,Allport Odbert - Column III,48876,"extremely unpleasant, difficult, or troublesome.",46,,,,,
fierce,4.10,398,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,5900,"dangerously wild, hostile, or vicious.",49,,,,,
fiery,3.60,399,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,10370,"emotionally heated or intense, or quick to anger.",49,,,,,
filthy,NA,NA,dropped,nope,nope,Allport Odbert - Column III,11525,extremely dirty or foul; nasty.,31,,,,,
fine,NA,NA,NA,yes,nope,Allport Odbert - Column III,731,elegant and refined.,20,,,,,
finicky,4.50,400,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,31254,exceptionally fussy or hard to satisfy.,39,,,,,
firm,4.40,401,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,1421,resolute; uncompromising.,25,,,,,
fishy,NA,NA,dropped,nope,nope,Allport Odbert - Column III,26460,questionable or improbable.,27,,,,,
flaky,NA,NA,new,nope,nope,new,25068,eccentric; erratic; odd.,24,,,,,
flamboyant,4.80,402,Norman - category 2; form 5,nope,yes,Allport Odbert - Column III,19379,"exceptionally showy or dashing in one's speech, manner, or appearance.",70,,,,,
flammable,1.40,403,Norman - category 3; form 1,nope,yes,Allport Odbert - Column III,26958,able to catch on fire easily; combustible.,42,,,,,
flashy,NA,NA,Norman - category 3; form 4,nope,nope,Allport Odbert - Column III,16003,gaudy; excessively or tastelessly brilliant in color or style.,62,,,,,
flatterable,1.30,404,Norman - category 3; form 5,nope,yes,Allport Odbert - Column I,NA,able to be pleased by complimentary remarks or attention.,57,,,,,
flattering,NA,NA,dropped,nope,nope,Allport Odbert - Column III,16594,excessively or insincerely complimentary.,40,,,,,
flaunty,1.60,405,Norman - category 3; form 1,nope,yes,Allport Odbert - Column III,NA,"given to display; inclined to be ostentatious, showy, or vain.",61,,,,,
flawless,NA,NA,new,nope,nope,new,15706,without any blemishes or imperfections; perfect.,48,,,,,
flexible,5.00,406,Norman - category 1; form 2,nope,yes,Allport Odbert - Column I,5080,adapting or adaptable to changing circumstance.,47,,,,,
flighty,4.90,407,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,45485,easily excited; light-headed; silly; giddy.,43,,,,,
flinching,NA,NA,dropped,nope,nope,Allport Odbert - Column II,37961,"prone to wincing, being startled, or twitching suddenly, as in pain or fear.",76,,,,,
flippant,4.30,408,Norman - category 2; form 2,nope,yes,Allport Odbert - Column I,46813,disrespectful or indifferent to someone or something worthy of respect; shallowly humorous.,91,,,,,
flirtatious,6.00,409,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,30769,expressing a playful sexual attraction.,18,,,,,
florid,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,34897,highly ornamented; flowery; elaborate.,38,,,,,
fluid,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,5408,not stable; changeable.,23,,,,,
fluttery,1.80,410,Norman - category 3; form 2,nope,yes,Allport Odbert - Column I,51744,to move about or behave in an agitated aimless manner.,53,,,,,
folksy,2.10,411,Norman - category 3; form 1,nope,yes,Allport Odbert - Column I,32279,casually sociable; informal; neighborly; unceremonious.,55,,,,,
foolhardy,3.40,412,Norman - category 3; form 2,nope,yes,Allport Odbert - Column III,32461,unreasonably bold or daring; rash.,34,,,,,
foolish,5.50,413,NA,yes,nope,Allport Odbert - Column III,7270,"lacking in good sense or judgment, or appearing to lack them; silly.",68,,,,,
footloose,3.20,414,Norman - category 3; form 3,nope,yes,not included,45046,free to come and go as one pleases; not bound by any commitments or responsibilities.,85,,,,,
foppish,NA,NA,Norman - category 3; form 4,nope,nope,Allport Odbert - Column I,73640,highly concerned with one's appearance and manners; vain.,57,,,,,
forbearing,2.10,415,Norman - category 2; form 5,nope,yes,Allport Odbert - Column I,88524,patient and restrained.,22,,,,,
forceful,4.60,416,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,13869,having power or effectiveness.,38,,,,,
forceless,1.60,417,Norman - category 3; form 12,nope,yes,not included,NA,"without strength, energy, or power.",23,,,,,
forcible,1.40,418,Norman - category 3; form 2,nope,yes,Allport Odbert - Column I,37653,achieving through violence.,35,,,,,
foresighted,2.00,419,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,94617,acting on the basis of predictions about the future.,47,,,,,
foresightless,1.00,420,Norman - category 3; form 1,nope,yes,Allport Odbert - Column I,NA,lacking insight into the future.,41,,,,,
forethoughtful,1.30,421,Norman - category 3; form 2,nope,yes,Allport Odbert - Column I,NA,careful to consider what might happen in the future; prudent.,30,,,,,
forgetful,6.10,422,Norman - category 1; form 33,nope,yes,Allport Odbert - Column I,37254,neglectful; careless; inattentive.,59,,,,,
forgiving,6.00,423,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,13666,tending to let go of anger or resentment towards others.,32,,,,,
forlorn,NA,NA,dropped,nope,nope,Allport Odbert - Column II,21340,"desolate or unhappy, as from abandonment or weariness.",54,,,,,
formal,3.80,424,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,2403,"highly correct or proper in manner or tone, sometimes communicating coldness or stiffness.",90,,,,,
