TERM,ALmeanFrequency,Orig OrderIn1710List,NormanCategory2800List,Saucier list?,G&N 1710 list?,Allport Odbert source,COCA freq rank,definitions,,,,,,
agreeable,5.50,28,Norman - category 1; form 4,nope,yes,Allport Odbert - Column III,19714,pleasing or likable.,20,,,,,
aimful,1.60,29,Norman - category 3; form 1,nope,yes,Allport Odbert - Column I,NA,having purpose and/or goals.,28,,,,,
aimless,3.10,30,Norman - category 1; form 2,nope,yes,Allport Odbert - Column III,32241,characterized by or having no purpose.,38,,,,,
airy,NA,NA,Norman - category 3; form 3,nope,nope,Allport Odbert - Column I,14661,light in style or manner.,25,,,,,
alarmable,1.60,31,Norman - category 3; form 12,nope,yes,not included,NA,tending to readily sense danger; excitable.,43,,,,,
alcoholic,NA,NA,NA,yes,nope,Allport Odbert - Column II,13416,"regularly drinking too much beer, wine, or liquor.",36,,,,,
alert,4.20,32,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,7213,keenly attentive or responsive; quick to perceive.,50,,,,,
alive,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,1586,animated; energetic.,20,,,,,
alone,NA,NA,NA,yes,nope,Allport Odbert - Column IV,999,solitary; separate from everyone or everything else.,52,,,,,
aloof,4.80,33,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,20840,indifferent; uninvolved or distant.,35,,,,,
altruistic,5.00,34,Norman - category 2; form 3,nope,yes,Allport Odbert - Column I,22307,unselfishly devoted to the welfare of others.,45,,,,,
amazing,NA,NA,NA,yes,nope,Allport Odbert - Column III,2285,"causing wonder, great surprise, or astonishment.",48,,,,,
ambiguous,NA,NA,dropped,nope,nope,Allport Odbert - Column III,9238,unclear; uncertain; obscure.,28,,,,,
ambitious,6.20,35,Norman - category 1; form 4,nope,yes,Allport Odbert - Column III,5239,having or showing a strong desire and determination to succeed.,63,,,,,
ambivalent,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,14821,conflicted about one's feelings and emotions.,45,,,,,
amenable,NA,NA,dropped,nope,nope,Allport Odbert - Column III,22118,"agreeable; pliable; willing to respond, agree, or submit.",57,,,,,
amiable,2.90,36,Norman - category 1; form 5,nope,yes,Allport Odbert - Column III,23044,congenial; characterized by or showing a friendly disposition; free of ill will.,80,,,,,
amicable,3.50,37,Norman - category 2; form 1,nope,yes,Allport Odbert - Column III,33829,friendly; characterized by good will.,37,,,,,
amorous,3.20,38,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,28066,generally inclined to feeling romantic love or engaging in romantic or sexual activity.,87,,,,,
amusing,NA,NA,NA,yes,nope,Allport Odbert - Column III,11792,able to entertain or divert.,36,,,,,
analytical,5.10,39,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,9357,relating to or using logical reasoning.,51,,,,,
anarchistic,NA,NA,Norman - category 2; form 1,nope,nope,Allport Odbert - Column I,77634,of a person who encourages disobedience toward any or all established governments.,82,,,,,
anecdotal,NA,NA,dropped,nope,nope,Allport Odbert - Column I,14052,prone to telling stories or reports based on personal and usually unscientific observations.,92,,,,,
angelic,3.50,40,Norman - category 3; form 2,nope,yes,Allport Odbert - Column III,26256,beautifully innocent or kind.,58,,,,,
angry,NA,NA,NA,yes,nope,Allport Odbert - Column II,1844,"having a strong feeling of or showing annoyance, displeasure, or hostility.",76,,,,,
animated,4.90,41,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,8697,"full of activity, spirit, or excitement.",40,,,,,
annoyed,NA,NA,NA,yes,nope,Allport Odbert - Column II,11193,feeling somewhat angry or irritated.,36,,,,,
annoying,NA,NA,NA,yes,nope,Allport Odbert - Column III,10275,irritating; bothersome.,42,,,,,
antagonistic,5.20,42,Norman - category 1; form 13,nope,yes,not included,23620,unfriendly; characterized by or showing dislike or hostility.,61,,,,,
antagonizing,NA,NA,dropped,nope,nope,Allport Odbert - Column III,48995,provoking hostility; making enemies of others.,46,,,,,
anticipative,2.20,43,Norman - category 2; form 2,nope,yes,Allport Odbert - Column I,NA,awaiting or expectant.,44,,,,,
